"","Sample_3TR","Sample_9TR","Sample_21TR","Sample_24TR","Sample_31TR","Sample_32TR","Sample_38TR","Sample_41TR","Sample_43TR","Sample_49TR","Sample_50TR"
"ENSG00000008197.4",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000008226.19",15,19,14,23,32,12,22,22,22,14,26
"ENSG00000008256.15",1326,1220,1096,805,1172,1182,1065,1118,1425,1398,1270
"ENSG00000008277.14",369,66,56,43,57,93,129,65,71,298,159
"ENSG00000008282.8",2235,1498,1274,991,1394,2365,1277,1180,1425,1763,1658
"ENSG00000008283.15",1007,1222,646,578,1431,1193,1073,1168,1110,973,912
"ENSG00000008294.20",5983,4439,4819,4241,4250,6804,4497,3675,4259,5035,4857
"ENSG00000008300.16",158,524,398,340,351,361,394,209,335,253,454
"ENSG00000008311.14",476,262,241,313,273,320,305,173,245,296,221
"ENSG00000008323.15",2,658,1,8,153,1,1,14,977,0,2
"ENSG00000008324.11",169,130,146,65,149,216,117,109,109,154,126
"ENSG00000008382.15",232,194,229,136,220,182,248,179,230,316,253
"ENSG00000008394.12",1197,1930,705,999,1954,3421,2091,2031,1779,1931,1484
"ENSG00000008405.11",754,622,804,412,499,1189,426,579,602,596,591
"ENSG00000008438.4",1,10,3,16,7,11,3,3,1,14,11
"ENSG00000008441.16",19499,5827,9522,5899,7779,6518,11698,5788,8576,19199,12261
"ENSG00000008513.14",1987,2892,2468,2372,2738,7254,2188,2440,2332,2224,2040
"ENSG00000008516.16",217,536,191,320,185,538,110,70,98,214,118
"ENSG00000008517.16",261,584,260,244,435,263,312,387,354,280,385
"ENSG00000008710.19",9638,7165,8034,7554,8354,8999,9928,7002,7688,11810,10713
"ENSG00000008735.13",31,93,22,30,65,13,46,21,250,26,26
"ENSG00000008838.19",1011,915,828,712,932,1249,1016,722,934,966,1027
"ENSG00000008853.16",956,1088,1135,763,1160,1070,976,602,907,1203,1006
"ENSG00000008869.11",1066,883,703,741,706,954,789,673,972,912,833
"ENSG00000008952.16",4803,3901,3906,4230,4728,6945,3749,3445,4144,5153,4246
"ENSG00000008988.9",10106,7517,8179,8332,11232,12185,8219,6059,9748,12442,10773
"ENSG00000009307.15",24858,21569,31798,31411,28228,35307,25618,14338,27182,41773,34782
"ENSG00000009335.17",3315,3565,4165,2948,3705,5031,3437,2134,3483,4186,4593
"ENSG00000009413.15",19391,4545,4957,5853,5212,8117,8770,4351,7179,8894,8472
"ENSG00000009694.13",183,19,73,32,13,29,54,16,37,25,74
"ENSG00000009709.11",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000009724.16",0,3,1,0,1,3,0,0,2,0,2
"ENSG00000009765.14",0,3,0,2,3,1,1,6,17,0,1
"ENSG00000009780.15",865,391,535,377,429,514,689,413,482,797,485
"ENSG00000009790.14",62,138,64,124,98,80,80,86,90,71,96
"ENSG00000009830.11",537,730,518,512,580,859,632,443,548,624,669
"ENSG00000009844.15",844,897,676,609,721,1338,694,552,715,672,719
"ENSG00000009950.15",8,69,4,59,25,51,16,9,33,3,24
"ENSG00000009954.10",5112,4337,4827,4327,4701,5498,4617,2958,4732,5977,4965
"ENSG00000010017.12",1329,1326,1360,1222,1260,1675,1099,884,1119,1394,1483
"ENSG00000010030.13",9,31,30,30,26,14,21,16,46,21,20
"ENSG00000010072.15",406,256,287,145,267,427,310,178,298,269,295
"ENSG00000010165.19",613,560,633,428,609,826,613,414,547,665,630
"ENSG00000010219.13",346,244,297,271,318,416,327,193,290,400,340
"ENSG00000010244.18",2620,2818,1950,2025,2335,3944,2049,1846,2037,2152,2232
"ENSG00000010256.10",1698,1670,1948,1664,1968,2237,1821,1267,1876,2283,2370
"ENSG00000010270.13",786,715,870,821,874,1265,798,580,862,790,891
"ENSG00000010278.12",3821,3831,2658,2138,3056,2406,3161,4184,3952,3170,2912
"ENSG00000010282.14",6,0,1,2,2,0,0,4,7,1,2
"ENSG00000010292.12",1191,1092,1034,612,1141,1107,1258,851,1180,1395,1332
"ENSG00000010295.19",626,445,480,427,566,398,754,438,461,862,637
"ENSG00000010310.8",2,7,0,2,6,2,1,15,2,0,6
"ENSG00000010318.20",89,84,94,83,79,86,134,91,130,148,147
"ENSG00000010319.6",522,124,363,19,246,165,307,282,205,581,457
"ENSG00000010322.15",3243,2016,2011,2041,2206,2212,3061,2046,2338,3181,2706
"ENSG00000010327.10",5891,9955,9203,5842,6763,10441,8501,6205,8153,6641,9627
"ENSG00000010361.13",216,180,128,124,196,153,209,150,215,238,193
"ENSG00000010379.15",3,6,1,2,4,4,1,3,6,2,2
"ENSG00000010404.17",2478,2609,1987,2091,2779,2386,2631,2920,2310,2033,2164
"ENSG00000010438.16",3,0,1,4,1,1,0,5,0,0,0
"ENSG00000010539.11",229,232,208,148,212,266,195,161,213,202,230
"ENSG00000010610.9",781,1753,1238,985,1559,1218,1949,1850,2196,1287,1393
"ENSG00000010626.14",182,164,140,189,160,172,146,155,141,179,171
"ENSG00000010671.15",93,260,191,164,173,255,227,227,251,162,218
"ENSG00000010704.18",356,292,208,195,351,197,404,442,358,416,301
"ENSG00000010803.16",2274,953,1516,1407,1367,1877,1505,949,1334,3189,1936
"ENSG00000010810.17",3445,1706,1930,2775,2445,2899,3846,1878,1960,3025,2579
"ENSG00000010818.9",1640,2917,2315,3212,2476,2773,1504,3981,1649,1886,1838
"ENSG00000010932.16",36,7,0,0,10,0,5,13,7,20,9
"ENSG00000011007.12",2090,2066,1912,1584,2005,3237,1853,1191,1776,2381,2210
"ENSG00000011009.10",392,613,552,345,625,689,413,331,700,392,446
"ENSG00000011021.21",889,720,519,825,659,854,706,557,692,814,650
"ENSG00000011028.13",16970,5467,7521,3961,6210,8172,10350,6229,7364,9820,11294
"ENSG00000011052.21",2,8,2,2,4,2,1,2,8,4,5
"ENSG00000011083.8",1,5,1,0,1,1,1,5,0,0,0
"ENSG00000011105.12",2881,2694,2221,2883,3450,3487,3380,3262,2467,2964,2912
"ENSG00000011114.14",3173,2512,1842,1335,2086,2855,2226,1507,2652,2793,2239
"ENSG00000011132.11",283,332,326,265,346,359,339,191,267,357,331
"ENSG00000011143.16",209,136,130,106,140,133,203,136,158,219,197
"ENSG00000011198.7",810,718,474,317,520,1208,363,554,384,387,472
"ENSG00000011201.11",781,271,117,173,537,537,469,358,222,298,312
"ENSG00000011243.17",781,728,601,788,743,798,724,527,811,710,732
"ENSG00000011258.15",520,485,294,401,363,482,377,303,463,454,395
"ENSG00000011260.13",380,520,367,351,429,608,324,283,413,310,322
"ENSG00000011275.18",2621,2190,3091,2215,2561,3943,2448,1723,2227,5972,3391
"ENSG00000011295.15",561,597,411,347,437,624,461,371,771,445,481
"ENSG00000011304.19",3813,4401,3508,3139,4040,6588,3765,2791,4246,3885,4192
"ENSG00000011332.19",5,30,47,33,30,23,13,13,20,8,19
"ENSG00000011347.9",133,127,74,30,94,55,141,61,88,73,65
"ENSG00000011376.9",476,489,628,459,591,678,653,378,583,513,535
"ENSG00000011405.13",3012,2623,2491,1844,2301,4886,2250,1622,2325,2426,2574
"ENSG00000011422.11",331,1320,623,1028,964,1362,446,983,473,215,508
"ENSG00000011426.10",281,340,1038,298,341,681,487,247,773,758,954
"ENSG00000011451.17",3028,2032,2577,1838,2352,2902,2852,1383,2301,3584,3149
"ENSG00000011454.16",3308,2218,2795,2740,2323,3043,3068,1828,3106,3611,3376
"ENSG00000011465.16",53146,32192,20502,24509,47366,25284,58026,90474,43542,34265,33904
"ENSG00000011478.11",97,156,170,92,163,139,101,122,165,147,135
"ENSG00000011485.14",1028,843,1021,731,927,1699,975,608,857,1014,1098
"ENSG00000011523.13",2206,1009,921,883,946,1484,1394,791,1260,1803,1355
"ENSG00000011566.14",1045,890,706,850,789,1287,728,704,825,857,952
"ENSG00000011590.13",4,1,0,1,2,0,1,1,1,0,4
"ENSG00000011600.11",351,1505,1070,1137,1055,1180,1005,1259,1503,846,1101
